keyword,title,price,url,shipping_x,scraped_at,title_full,price_item,condition,shipping_y,marca,linha,modelo,cor,tamanho_da_tela,é_dual_sim,memória_interna,memória_ram,rede_móvel,número_de_homologação_da_anatel,ano_de_lançamento,tipo_de_conector_de_carregamento,com_conector_usb,com_conector_jack_3_5_mm,com_wi_fi,com_gps,com_bluetooth,com_nfc,resolução_da_câmera_traseira_principal,resolução_de_vídeo_da_câmera_traseira,resolução_da_câmera_frontal_principal,resolução_das_câmeras_traseiras,abertura_do_diafragma_da_câmera_traseira,resolução_das_câmeras_frontais,abertura_do_diafragma_da_câmera_frontal,quantidade_de_câmeras_traseiras,quantidade_de_câmeras_frontais,resolução_de_vídeo_da_câmera_frontal,com_câmera,com_flash_na_câmara_frontal,peso,altura_x_largura_x_profundidade,com_acelerômetro,com_sensor_de_proximidade,com_giroscópio,com_bússola,com_barômetro,quantidade_de_ranhuras_para_cartão_sim,quantidade_de_esims,tamanhos_de_cartão_sim_compatíveis,com_esim,nome_do_sistema_operacional,versão_original_do_sistema_operacional,modelo_do_processador,mês_de_lançamento,tipo_de_resolução_da_tela,resolução_da_tela,tecnologia_da_tela,tipo_de_tela,pixels_por_polegada_da_tela,brilho_máximo_da_tela,com_tela_tátil,tipo_de_bateria,com_carregamento_rápido,com_carregamento_sem_fio,com_bateria_removível,com_leitor_de_impressão_digital,com_reconhecimento_facial,com_botão_sos,classificação_ip,com_teclado_qwerty_físico,é_resistente_a_salpicos,é_resistente_à_água,é_resistente_ao_pó,é_resistente_a_quedas,inclui_lápis
iphone-14,Apple iPhone 14 (128 GB) - Estelar - Distribuidor Autorizado,6432,https://www.mercadolivre.com.br/apple-iphone-14-128-gb-estelar-distribuidor-autorizado/p/MLB1019615378,Frete grátis,2025-05-18 18:20:09.819179,Apple iPhone 14 (128 GB) - Estelar - Distribuidor Autorizado,6432,Novo  |  +10mil vendidos,"ou R$ 4.568 , 68 em 10x R$ 456 , 87 sem juros",Apple,iPhone 14,iPhone 14,Estelar,"6,1 """,Não,128 GB,4 GB,5G,109862201993,2022,Lightning,Não,Não,Sim,Sim,Sim,Sim,12 Mpx,4K,12 Mpx,12 Mpx,f 1.5/f 2.4,12 Mpx,f 1.9,2,1,4K,Sim,Sim,172 g,14.67 cm x 7.15 cm x 7.8 mm,Sim,Sim,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,16,Apple A15 Bionic,Setembro,OLED,2532 px x 1170 px,OLED,Retina,460 dpi,2.000 cd/m²,Sim,Íon de lítio,Sim,Sim,Não,Não,Sim,Sim,IP68,Não,Sim,Sim,Sim,Não,Não
iphone-14,Apple iPhone 14 (256 GB) - Estelar - Distribuidor Autorizado,5658,https://www.mercadolivre.com.br/apple-iphone-14-256-gb-estelar-distribuidor-autorizado/p/MLB1019615376,Frete grátis,2025-05-18 18:20:09.819179,Apple iPhone 14 (256 GB) - Estelar - Distribuidor Autorizado,5658,Novo  |  +1000 vendidos,"ou R$ 5.219 , 86 em 10x R$ 521 , 99 sem juros",Apple,iPhone 14,iPhone 14,Estelar,"6,1 """,Não,256 GB,6 GB,5G,109862201993,2022,Lightning,Não,Não,Sim,Sim,Sim,Sim,12 Mpx,4K,12 Mpx,12 Mpx,f 1.5/f 2.4,12 Mpx,f 1.9,2,1,4K,Sim,Sim,172 g,14.67 cm x 7.15 cm x 7.8 mm,Sim,Sim,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,16,Apple A15 Bionic,Setembro,OLED,2532 px x 1170 px,OLED,Retina,460 dpi,2.000 cd/m²,Sim,Íon de lítio,Sim,Sim,Não,Não,Sim,Sim,IP68,Não,Sim,Sim,Sim,Não,Não
iphone-14,Apple iPhone 14 (256 Gb) - Branco estelar,5499,https://www.mercadolivre.com.br/apple-iphone-14-256-gb-branco-estelar/p/MLB19615376,Frete grátis,2025-05-18 18:20:09.819179,Apple iPhone 14 (256 Gb) - Branco estelar,5499,Novo  |  +100 vendidos,"em 12x R$ 412 , 42 sem juros",Apple,iPhone 14,iPhone 14,Estelar,"6,1 """,Não,256 GB,6 GB,5G,109862201993,2022,Lightning,Não,Não,Sim,Sim,Sim,Sim,12 Mpx,4K,12 Mpx,12 Mpx,f 1.5/f 2.4,12 Mpx,f 1.9,2,1,4K,Sim,Sim,172 g,14.67 cm x 7.15 cm x 7.8 mm,Sim,Sim,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,16,Apple A15 Bionic,Setembro,OLED,2532 px x 1170 px,OLED,Retina,460 dpi,2.000 cd/m²,Sim,Íon de lítio,Sim,Sim,Não,Não,Sim,Sim,IP68,Não,Sim,Sim,Sim,Não,Não
iphone-14,Apple iPhone 14 Plus (512 GB) - Meia-noite - Excelente (Recondicionado),4198,https://www.mercadolivre.com.br/apple-iphone-14-plus-512-gb-meia-noite-excelente-recondicionado/p/MLB2000032505,Frete grátis,2025-05-18 18:20:09.820178,Apple iPhone 14 Plus (512 GB) - Meia-noite - Excelente (Recondicionado),4198,Recondicionado  |  2 vendidos,"em 12x R$ 349 , 84 sem juros",Apple,iPhone 14,iPhone 14 Plus,Meia‑noite,"6,7 """,Não,512 GB,6 GB,5G,109872201993,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iphone-14,Apple iPhone 14 Pro (512 GB) - Roxo-profundo - Excelente (Recondicionado),5349,https://www.mercadolivre.com.br/apple-iphone-14-pro-512-gb-roxo-profundo-excelente-recondicionado/p/MLB2000120476,Frete grátis,2025-05-18 18:20:09.820178,Apple iPhone 14 Pro (512 GB) - Roxo-profundo - Excelente (Recondicionado),5349,Recondicionado  |  +5 vendidos,"em 12x R$ 445 , 75 sem juros",Apple,iPhone 14,iPhone 14 Pro,Roxo-profundo,"6,1 """,Não,512 GB,6 GB,5G,111142201993,2022,Lightning,Não,Não,Sim,Sim,Sim,Sim,48 Mpx,3840 px x 2160 px,12 Mpx,48 Mpx/12 Mpx/12 Mpx,f 1.78 / f 2.2 / f 1.78,12 Mpx,f 1.9,3,1,3840 px x 2160 px,Sim,Sim,206 g,14.75 cm x 7.15 cm x 7.8 mm,Sim,Sim,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,16,Apple A16 Bionic,Setembro,OLED,2556 px x 1179 px,OLED,Retina,460 dpi,2.000 cd/m²,Sim,Íon de lítio,Sim,Sim,Não,Não,Sim,Sim,IP68,Não,Sim,Sim,Sim,Sim,Não
iphone-14,Apple iPhone 14 Pro Max (128 GB) - Roxo-profundo - Excelente (Recondicionado),5042,https://www.mercadolivre.com.br/apple-iphone-14-pro-max-128-gb-roxo-profundo-excelente-recondicionado/p/MLB2000136850,Frete grátis,2025-05-18 18:20:09.820178,Apple iPhone 14 Pro Max (128 GB) - Roxo-profundo - Excelente (Recondicionado),5042,Recondicionado  |  +100 vendidos,"em 12x R$ 420 , 17 sem juros",Apple,iPhone 14,iPhone 14 Pro Max,Roxo-profundo,"6,7 """,Não,128 GB,6 GB,5G,111172201993,2022,Lightning,Não,Não,Sim,Sim,Sim,Sim,12 Mpx,4K,48 Mpx,48 Mpx/12 Mpx/12 Mpx,f 1.78 / f 2.2 / f 1.78,12 Mpx,f 1.9,3,1,4K,Sim,Sim,240 g,16.07 cm x 7.77 cm x 7.8 mm,Sim,Sim,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,16,Apple A16 Bionic,Setembro,OLED,2796 px x 1290 px,OLED,Retina,460 dpi,2.000 cd/m²,Sim,Íon de lítio,Sim,Sim,Não,Não,Sim,Sim,IP68,Não,Sim,Sim,Sim,Sim,Não
iphone-14,Apple iPhone 14 (128 GB) - Meia noite,4398,https://www.mercadolivre.com.br/apple-iphone-14-128-gb-meia-noite/p/MLB19615360,Frete grátis,2025-05-18 18:20:09.820178,Apple iPhone 14 (128 GB) - Meia noite,4398,Novo  |  +10mil vendidos,"em 12x R$ 366 , 58 sem juros",Apple,iPhone 14,iPhone 14,Meia‑noite,"6,1 """,Não,128 GB,6 GB,5G,109862201993,2022,Lightning,Não,Não,Sim,Sim,Sim,Sim,12 Mpx,4K,12 Mpx,12 Mpx,f 1.5/f 2.4,12 Mpx,f 1.9,2,1,4K,Sim,Sim,172 g,14.67 cm x 7.15 cm x 7.8 mm,Sim,Sim,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,16,Apple A15 Bionic,Setembro,OLED,2532 px x 1170 px,OLED,Retina,460 dpi,2.000 cd/m²,Sim,Íon de lítio,Sim,Sim,Não,Não,Sim,Sim,IP68,Não,Sim,Sim,Sim,Não,Não
iphone-14,Apple iPhone 14 Pro (128 GB) - Preto-espacial - Excelente (Recondicionado),4530,https://www.mercadolivre.com.br/apple-iphone-14-pro-128-gb-preto-espacial-excelente-recondicionado/p/MLB2000034255,Frete grátis,2025-05-18 18:20:09.820178,Apple iPhone 14 Pro (128 GB) - Preto-espacial - Excelente (Recondicionado),4530,Recondicionado  |  +50 vendidos,"em 12x R$ 377 , 50 sem juros",Apple,iPhone 14,iPhone 14 Pro,Preto-espacial,"6,1 """,Não,128 GB,6 GB,5G,111142201993,2022,Lightning,Não,Não,Sim,Sim,Sim,Sim,48 Mpx,3840 px x 2160 px,12 Mpx,48 Mpx/12 Mpx/12 Mpx,f 1.78 / f 2.2 / f 1.78,12 Mpx,f 1.9,3,1,3840 px x 2160 px,Sim,Sim,206 g,14.75 cm x 7.15 cm x 7.8 mm,Sim,Sim,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,16,Apple A16 Bionic,Setembro,OLED,2556 px x 1179 px,OLED,Retina,460 dpi,2.000 cd/m²,Sim,Íon de lítio,Sim,Sim,Não,Não,Sim,Sim,IP68,Não,Sim,Sim,Sim,Sim,Não
iphone-14,Apple iPhone 14 Pro Max (128 GB) - Roxo-profundo,7099,https://www.mercadolivre.com.br/apple-iphone-14-pro-max-128-gb-roxo-profundo/p/MLB19615329,Frete grátis,2025-05-18 18:20:09.820178,Apple iPhone 14 Pro Max (128 GB) - Roxo-profundo,7099,Novo  |  +500 vendidos,"em 12x R$ 591 , 58 sem juros",Apple,iPhone 14,iPhone 14 Pro Max,Roxo-profundo,"6,7 """,Não,128 GB,6 GB,5G,111172201993,2022,Lightning,Não,Não,Sim,Sim,Sim,Sim,12 Mpx,4K,48 Mpx,48 Mpx/12 Mpx/12 Mpx,f 1.78 / f 2.2 / f 1.78,12 Mpx,f 1.9,3,1,4K,Sim,Sim,240 g,16.07 cm x 7.77 cm x 7.8 mm,Sim,Sim,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,16,Apple A16 Bionic,Setembro,OLED,2796 px x 1290 px,OLED,Retina,460 dpi,2.000 cd/m²,Sim,Íon de lítio,Sim,Sim,Não,Não,Sim,Sim,IP68,Não,Sim,Sim,Sim,Sim,Não
iphone-14,Apple iPhone 14 Plus (256 GB) - Meia-noite - Bom (Recondicionado),4289,https://www.mercadolivre.com.br/apple-iphone-14-plus-256-gb-meia-noite-bom-recondicionado/p/MLB2000104112,Frete grátis,2025-05-18 18:20:09.821178,Apple iPhone 14 Plus (256 GB) - Meia-noite - Bom (Recondicionado),4289,Recondicionado  |  3 vendidos,"em 12x R$ 332 , 42 sem juros",Apple,iPhone 14,iPhone 14 Plus,Meia‑noite,"6,7 """,Não,256 GB,4 GB,5G,109872201993,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
