keyword,title,price,url,shipping_x,scraped_at,title_full,price_item,condition,shipping_y,marca,linha,modelo,processador,nome_do_sistema_operacional,capacidade_de_armazenamento,placa_gráfica,capacidade_total_do_módulo_de_memória_ram,capacidade_de_disco_ssd,cor,versão_do_sistema_operacional,quantidade_de_núcleos,é_gamer,otimizado_para_ia,fabricante,modelo_alfanumérico
mac-mini-m4,Apple Mac Mini M4 16gb 256gb Ssd Cinza Macos,5587,https://produto.mercadolivre.com.br/MLB-3964370751-apple-mac-mini-m4-16gb-256gb-ssd-cinza-macos-_JM?searchVariation=182822025180,Frete grátis,2025-05-18 18:21:22.395126,Apple Mac Mini M4 16gb 256gb Ssd Cinza Macos,5587,Novo  |  +25 vendidos,"em 12x R$ 465 , 58 sem juros",Apple,mac,Mac mini,M4,macOS,256 GB,,16 GB,256 GB,Cinza,Ventura,8,Não,Não,Apple,
mac-mini-m4,Mini Mac M4 10 Nucleos Memoria 16 Ssd 256gb,5649,https://www.mercadolivre.com.br/mini-mac-m4-10-nucleos-memoria-16-ssd-256gb/up/MLBU3132319777,Frete grátis,2025-05-18 18:21:22.395126,Mini Mac M4 10 Nucleos Memoria 16 Ssd 256gb,5649,Novo  |  +5 vendidos,"em 12x R$ 542 , 96",Apple,M4,Mac mini,M4,macOS,256 GB,Apple M4 10-core,16 GB,,Silver,,,Não,Não,Apple,MU9D3LL/A
mac-mini-m4,Apple Mac Mini M4 (2024) 10cpu 10gpu 16gb 256gb Envio Hoje,6599,https://produto.mercadolivre.com.br/MLB-5310805116-apple-mac-mini-m4-2024-10cpu-10gpu-16gb-256gb-envio-hoje-_JM?searchVariation=183081273230,Frete grátis,2025-05-18 18:21:22.395126,Apple Mac Mini M4 (2024) 10cpu 10gpu 16gb 256gb Envio Hoje,6599,Novo  |  +25 vendidos,"em 12x R$ 549 , 92 sem juros",Apple,M4,Mac mini,M4,macOS,256 GB,Apple M4 10-core,16 GB,256 GB,Prateado,,,Não,Não,Apple,MU9D3LL/A
mac-mini-m4,Mac Mini Apple M4 10-core 16gb Ram 256gb Ssd Prateado,5487,https://www.mercadolivre.com.br/mac-mini-apple-m4-10core-16gb-ram-256gb-ssd-prateado/up/MLBU3165451156,Frete grátis,2025-05-18 18:21:22.396126,Mac Mini Apple M4 10-core 16gb Ram 256gb Ssd Prateado,5487,Novo  |  1 vendido,"em 12x R$ 527 , 39",Apple,M4,Mac mini,M4,macOS,256 GB,Apple M4 10-core,16 GB,256 GB,Prateado,macOs  Sequoia,10,Não,Não,Apple,MU9D3LL/A
mac-mini-m4,Mac Mini M4 Chip 10core Cpu And 10core Gpu 256gb Com Nf,5869,https://produto.mercadolivre.com.br/MLB-4065695161-mac-mini-m4-chip-10core-cpu-and-10core-gpu-256gb-com-nf-_JM?searchVariation=183643615088,Frete grátis,2025-05-18 18:21:22.396126,Mac Mini M4 Chip 10core Cpu And 10core Gpu 256gb Com Nf,5869,Novo,"em 12x R$ 489 , 08 sem juros",Apple,Mac Mini M4,Mac mini,M4,macOS,256 GB,10 CORE GPU,16 GB,256 GB,Cinza,MacOS,10,Não,Não,Apple,111172201993
mac-mini-m4,Apple Mac Mini M4 (2024) 10cpu 10gpu 16gb 256gb Envio Hoje,5925,https://www.mercadolivre.com.br/apple-mac-mini-m4-2024-10cpu-10gpu-16gb-256gb-envio-hoje/up/MLBU3179088835,Frete grátis,2025-05-18 18:21:22.396126,Apple Mac Mini M4 (2024) 10cpu 10gpu 16gb 256gb Envio Hoje,5925,Novo,"em 12x R$ 569 , 53",Apple,M4,Mac mini,M4,macOS,256 GB,Apple M4 10-core,16 GB,256 GB,Prateado,iOS,10,Não,Não,APPLE INC,MU9D3LL/A
mac-mini-m4,Apple Mac Mini M4 - 10cpu 10gpu - 16gb Ram / 256gb Ssd,7440,https://produto.mercadolivre.com.br/MLB-5247712890-apple-mac-mini-m4-10cpu-10gpu-16gb-ram-256gb-ssd-_JM?searchVariation=186669891669,Frete grátis,2025-05-18 18:21:22.396126,Apple Mac Mini M4 - 10cpu 10gpu - 16gb Ram / 256gb Ssd,7440,Novo  |  +5 vendidos,em 12x R$ 496 sem juros,Apple,MAC MINI,Mac Mini M4,M4,macOS,256 GB,10-Core GPU,16 GB,256 GB,,Sequoia,,Não,Não,Apple,A3238
mac-mini-m4,Apple Mac Mini C/chip M4 16gb Ram 256gb Ssd,5999,https://produto.mercadolivre.com.br/MLB-4047658009-apple-mac-mini-cchip-m4-16gb-ram-256gb-ssd-_JM?searchVariation=187757441077,Frete grátis,2025-05-18 18:21:22.396126,Apple Mac Mini C/chip M4 16gb Ram 256gb Ssd,5999,Novo  |  +5 vendidos,"em 12x R$ 499 , 92 sem juros",Apple,mac,MAC MINI M4,M4,macOS,256 GB,,16 GB,256 GB,Cinza,,,Não,Não,,MU9D3LL/A
mac-mini-m4,"Apple Mac Mini M4 Pro (2024) 12cpu 16gpu 24gb Ram 512gb Ssd,",13387,https://produto.mercadolivre.com.br/MLB-5284089126-apple-mac-mini-m4-pro-2024-12cpu-16gpu-24gb-ram-512gb-ssd-_JM?searchVariation=182880644022,Frete grátis,2025-05-18 18:21:22.396126,"Apple Mac Mini M4 Pro (2024) 12cpu 16gpu 24gb Ram 512gb Ssd,",13387,Novo  |  3 vendidos,"em 12x R$ 1.115 , 58 sem juros",Apple,M4,Mac mini,M4 Pro,macOS,512 GB,Apple M4 12-core,24 GB,512 GB,Prateado,Sierra,8,Não,Não,Apple,MCX44LL/A
mac-mini-m4,"Apple Mac Mini M4 (2024) 10cpu 10gpu 24gb Ram 512gb Ssd, 12x",11899,https://produto.mercadolivre.com.br/MLB-5171847080-apple-mac-mini-m4-2024-10cpu-10gpu-24gb-ram-512gb-ssd-12x-_JM?searchVariation=182183205290,Frete grátis,2025-05-18 18:21:22.397126,"Apple Mac Mini M4 (2024) 10cpu 10gpu 24gb Ram 512gb Ssd, 12x",11899,Novo  |  +5 vendidos,"em 12x R$ 862 , 68 sem juros",Apple,M4,Mac mini,M4,macOS,,Apple M4 10-core,24 GB,512 GB,Prateado,Sequoia,10,,Não,Apple,MCYT4LL/A
