keyword,title,price,url,shipping_x,scraped_at,title_full,price_item,condition,shipping_y,fabricante,marca,linha,série,modelo,tamanho_da_memória,tipo_de_memória_gráfica,quantidade_de_núcleos,interface_com_a_placa_mãe,bus_de_memória,conectividade,número_de_saídas_de_monitor,resolução_máxima,exigência_de_energia,é_compatível_com_directx,é_compatível_com_opengl
rtx-3060,Placa de vídeo RTX 3060 12GB GALAX,2829,https://www.mercadolivre.com.br/placa-de-video-rtx-3060-12gb-galax/p/MLB17716910,Frete grátis,2025-05-18 18:20:52.774991,Placa de vídeo RTX 3060 12GB GALAX,2829,Novo  |  +5mil vendidos,"em 12x R$ 196 , 99 sem juros",Nvidia,Galax,3060,GeForce RTX 30 Series,RTX 3060,12 GB,GDDR6,3584,PCI-Express 4.0,192 bit,"3 DisplayPort 1.4a, HDMI 2.1",4,8K,550 W,Sim,Sim
rtx-3060,"Placa De Video Zotac Geforce Rtx 3060, 12gb, Gddr6, 192-bit",2569,https://www.mercadolivre.com.br/placa-de-video-zotac-geforce-rtx-3060-12gb-gddr6-192-bit/p/MLB35344600,Frete grátis,2025-05-18 18:20:52.774991,"Placa De Video Zotac Geforce Rtx 3060, 12gb, Gddr6, 192-bit",2569,Novo  |  +500 vendidos,"em 12x R$ 214 , 10 sem juros",,Zotac,RTX,,A30600P-10M,12 GB,GDDR6,3584,PCI-Express 4.0,192 bit,"HDMI, DisplayPort",4,8K,600 W,Sim,Sim
rtx-3060,Placa De Vídeo Pcyes Geforce Rtx 3050 6gb Gddr6,1499,https://www.mercadolivre.com.br/placa-de-video-pcyes-geforce-rtx-3050-6gb-gddr6/p/MLB46690622,Frete grátis,2025-05-18 18:20:52.774991,Placa De Vídeo Pcyes Geforce Rtx 3050 6gb Gddr6,1491,Novo  |  +5 vendidos,"em 12x R$ 144 , 24",,Pcyes,,,GeForce RTX 3050,6 GB,GDDR6,,,,,,,,,
rtx-3060,Placa de vídeo Nvidia Zotac Gaming GeForce RTX 3060 Series RTX 3060 ZT-A30600H-10M OC Edition 12GB,2729,https://www.mercadolivre.com.br/placa-de-video-nvidia-zotac-gaming-geforce-rtx-3060-series-rtx-3060-zt-a30600h-10m-oc-edition-12gb/p/MLB17707462,Frete grátis,2025-05-18 18:20:52.775986,Placa de vídeo Nvidia Zotac Gaming GeForce RTX 3060 Series RTX 3060 ZT-A30600H-10M OC Edition 12GB,2729,Novo  |  +500 vendidos,"em 12x R$ 262 , 39",Nvidia,Zotac,Gaming,GeForce RTX 3060 Series,RTX 3060,12 GB,GDDR6,3584,PCI-Express 4.0,192 bit,"HDMI 2.1, 3 DisplayPort 1.4a",4,8K,600 W,Sim,Sim
rtx-3060,Placa De Video Geforce Rtx 3060 12gb Ddr6 192 Bit Graffiti,2495,https://www.mercadolivre.com.br/placa-de-video-geforce-rtx-3060-12gb-ddr6-192-bit-graffiti/p/MLB36606669,Frete grátis,2025-05-18 18:20:52.775986,Placa De Video Geforce Rtx 3060 12gb Ddr6 192 Bit Graffiti,2495,Novo  |  +100 vendidos,"em 12x R$ 239 , 86",Nvidia,Pcyes,RTX,,Pgs3060Fs192,12 GB,GDDR6,,PCI-E,192 bit,"HDMI, DisplayPort",,,,,
rtx-3060,Placa De Vídeo Geforce Galax Rtx 3060 12gb Gddr6 Ray Tracing,3090,https://produto.mercadolivre.com.br/MLB-5207510096-placa-de-video-geforce-galax-rtx-3060-12gb-gddr6-ray-tracing-_JM,Frete grátis,2025-05-18 18:20:52.775986,Placa De Vídeo Geforce Galax Rtx 3060 12gb Gddr6 Ray Tracing,3090,Novo  |  +25 vendidos,"em 12x R$ 212 , 50 sem juros",Nvidia,Galax,3060,GeForce RTX 30 Series,RTX 3060,12 GB,GDDR6,3584,PCI-Express 4.0,192 bit,"3 DisplayPort 1.4a, HDMI 2.1",4,8K,550 W,Sim,Sim
rtx-3060,"Placa De Video Zotac Rtx 3060 12gb, Gddr6, 192 Bits",2849,https://produto.mercadolivre.com.br/MLB-4939420102-placa-de-video-zotac-rtx-3060-12gb-gddr6-192-bits-_JM,Frete grátis,2025-05-18 18:20:52.775986,"Placa De Video Zotac Rtx 3060 12gb, Gddr6, 192 Bits",2849,Novo,"em 12x R$ 237 , 42 sem juros",Nvidia,Zotac,RTX,,ZT-A30600P-10M,12 GB,GDDR6,3584,PCI-Express 4.0,192 bit,"HDMI, DisplayPort",4,8K,600 W,Sim,Sim
rtx-3060,Placa De Video Galax Geforce Rtx 3060 1-click Oc 12gb Gddr6,3024,https://produto.mercadolivre.com.br/MLB-3391382495-placa-de-video-galax-geforce-rtx-3060-1-click-oc-12gb-gddr6-_JM,Frete grátis,2025-05-18 18:20:52.775986,Placa De Video Galax Geforce Rtx 3060 1-click Oc 12gb Gddr6,3024,Novo  |  +25 vendidos,"em 12x R$ 235 , 48",Nvidia,Galax,3060,GeForce RTX 30 Series,RTX 3060,12 GB,GDDR6,3584,PCI-Express 4.0,192 bit,"3 DisplayPort 1.4a, HDMI 2.1",4,8K,550 W,Sim,Sim
rtx-3060,Placa De Vídeo Maxsun Rtx 3060 Ti 8gb Gddr6 Dlss Ray Tracing,2707,https://produto.mercadolivre.com.br/MLB-5386461024-placa-de-video-maxsun-rtx-3060-ti-8gb-gddr6-dlss-ray-tracing-_JM,Frete grátis,2025-05-18 18:20:52.776991,Placa De Vídeo Maxsun Rtx 3060 Ti 8gb Gddr6 Dlss Ray Tracing,2707,Novo  |  1 vendido,"em 12x R$ 225 , 58 sem juros",Nvidia,Maxsun,RTX,GeForce RTX 30 Series,RTX 3060 Ti,8 GB,GDDR6,,PCI-Express 4.0,192 bit,"1x HDMI, 3x DisplayPort",,,,Sim,Sim
rtx-3060,Placa De Vídeo Galax Geforce Rtx3060 12gb Gddr6 36nol7md1voc,2299,https://produto.mercadolivre.com.br/MLB-3937151079-placa-de-video-galax-geforce-rtx3060-12gb-gddr6-36nol7md1voc-_JM,Frete grátis,2025-05-18 18:20:52.776991,Placa De Vídeo Galax Geforce Rtx3060 12gb Gddr6 36nol7md1voc,2299,Novo,"em 12x R$ 220 , 97",Nvidia,Galax,3060,GeForce RTX 30 Series,36NOL7MD1VOC,12 GB,GDDR6,3584,PCI-Express 4.0,192 bit,"3 DisplayPort 1.4a, HDMI 2.1",4,8K,550 W,Sim,Sim
