keyword;title;price;url;shipping_x;scraped_at;title_full;price_item;condition;shipping_y;;marca;linha;modelo;processador;nome_do_sistema_operacional;capacidade_de_armazenamento;placa_gráfica;capacidade_total_do_módulo_de_memória_ram;capacidade_de_disco_ssd;cor;versão_do_sistema_operacional;é_gamer;otimizado_para_ia;fabricante;modelo_alfanumérico
mac-mini-m4;Mac Mini Apple M4 10-core 16gb Ram 256gb Ssd Prateado;5487;https://www.mercadolivre.com.br/mac-mini-apple-m4-10core-16gb-ram-256gb-ssd-prateado/up/MLBU3165451156;Frete grátis;2025-05-19 10:07:55.606745;Mac Mini Apple M4 10-core 16gb Ram 256gb Ssd Prateado;5487;Novo  |  1 vendido;em 12x R$ 527 , 39;457,25;Apple;M4;Mac mini;M4;macOS;256 GB;Apple M4 10-core;16 GB;256 GB;Prateado;macOs  Sequoia;Não;Não;Apple;MU9D3LL/A
mac-mini-m4;Mac Mini Apple M4 10-core 16gb Ram 256gb Ssd Prateado;5487;https://www.mercadolivre.com.br/mac-mini-apple-m4-10core-16gb-ram-256gb-ssd-prateado/up/MLBU3165451156;Frete grátis;2025-05-19 10:07:56.148097;Mac Mini Apple M4 10-core 16gb Ram 256gb Ssd Prateado;5487;Novo  |  1 vendido;em 12x R$ 527 , 39;457,25;Apple;M4;Mac mini;M4;macOS;256 GB;Apple M4 10-core;16 GB;256 GB;Prateado;macOs  Sequoia;Não;Não;Apple;MU9D3LL/A
mac-mini-m4;Mac Mini Apple M4 10-core 16gb Ram 256gb Ssd Prateado;5487;https://www.mercadolivre.com.br/mac-mini-apple-m4-10core-16gb-ram-256gb-ssd-prateado/up/MLBU3165451156;Frete grátis;2025-05-19 10:07:56.415969;Mac Mini Apple M4 10-core 16gb Ram 256gb Ssd Prateado;5487;Novo  |  1 vendido;em 12x R$ 527 , 39;457,25;Apple;M4;Mac mini;M4;macOS;256 GB;Apple M4 10-core;16 GB;256 GB;Prateado;macOs  Sequoia;Não;Não;Apple;MU9D3LL/A
mac-mini-m4;Mac Mini Apple M4 10-core 16gb Ram 256gb Ssd Prateado;5487;https://www.mercadolivre.com.br/mac-mini-apple-m4-10core-16gb-ram-256gb-ssd-prateado/up/MLBU3165451156;Frete grátis;2025-05-19 10:07:56.797914;Mac Mini Apple M4 10-core 16gb Ram 256gb Ssd Prateado;5487;Novo  |  1 vendido;em 12x R$ 527 , 39;457,25;Apple;M4;Mac mini;M4;macOS;256 GB;Apple M4 10-core;16 GB;256 GB;Prateado;macOs  Sequoia;Não;Não;Apple;MU9D3LL/A
mac-mini-m4;Mac Mini Apple M4 10-core 16gb Ram 256gb Ssd Prateado;5487;https://www.mercadolivre.com.br/mac-mini-apple-m4-10core-16gb-ram-256gb-ssd-prateado/up/MLBU3165451156;Frete grátis;2025-05-19 10:07:56.925747;Mac Mini Apple M4 10-core 16gb Ram 256gb Ssd Prateado;5487;Novo  |  1 vendido;em 12x R$ 527 , 39;457,25;Apple;M4;Mac mini;M4;macOS;256 GB;Apple M4 10-core;16 GB;256 GB;Prateado;macOs  Sequoia;Não;Não;Apple;MU9D3LL/A
mac-mini-m4;Apple Mac Mini M4 (2024) 10cpu 10gpu 24gb Ram 512gb Ssd, 12x;11899;https://produto.mercadolivre.com.br/MLB-5171847080-apple-mac-mini-m4-2024-10cpu-10gpu-24gb-ram-512gb-ssd-12x-_JM?searchVariation=182183205290;Frete grátis;2025-05-19 10:07:55.606745;Apple Mac Mini M4 (2024) 10cpu 10gpu 24gb Ram 512gb Ssd, 12x;11899;Novo  |  +5 vendidos;em 12x R$ 862 , 68 sem juros;;Apple;M4;Mac mini;M4;macOS;;Apple M4 10-core;24 GB;512 GB;Prateado;Sequoia;;Não;Apple;MCYT4LL/A
mac-mini-m4;Mac Mini Apple M4 10-core 16gb Ram 256gb Ssd Prateado;5487;https://www.mercadolivre.com.br/mac-mini-apple-m4-10core-16gb-ram-256gb-ssd-prateado/up/MLBU3165451156;Frete grátis;2025-05-19 10:07:57.077632;Mac Mini Apple M4 10-core 16gb Ram 256gb Ssd Prateado;5487;Novo  |  1 vendido;em 12x R$ 527 , 39;457,25;Apple;M4;Mac mini;M4;macOS;256 GB;Apple M4 10-core;16 GB;256 GB;Prateado;macOs  Sequoia;Não;Não;Apple;MU9D3LL/A
mac-mini-m4;Apple Mac Mini M4 Pro (2024) 12cpu 16gpu 24gb Ram 512gb Ssd,;13387;https://produto.mercadolivre.com.br/MLB-5284089126-apple-mac-mini-m4-pro-2024-12cpu-16gpu-24gb-ram-512gb-ssd-_JM?searchVariation=182880644022;Frete grátis;2025-05-19 10:07:55.606745;Apple Mac Mini M4 Pro (2024) 12cpu 16gpu 24gb Ram 512gb Ssd,;13387;Novo  |  3 vendidos;em 12x R$ 1.115 , 58 sem juros;;Apple;M4;Mac mini;M4 Pro;macOS;512 GB;Apple M4 12-core;24 GB;512 GB;Prateado;Sierra;Não;Não;Apple;MCX44LL/A
mac-mini-m4;Apple Mac Mini M4 (2024) 10cpu 10gpu, 16gb Ram, 512gb Ssd;8259;https://produto.mercadolivre.com.br/MLB-5336906406-apple-mac-mini-m4-2024-10cpu-10gpu-16gb-ram-512gb-ssd-_JM?searchVariation=183259989724;Frete grátis;2025-05-19 10:07:55.622761;Apple Mac Mini M4 (2024) 10cpu 10gpu, 16gb Ram, 512gb Ssd;8259;Novo  |  +5 vendidos;em 12x R$ 688 , 25 sem juros;;Apple;M4;Mac mini;M4;macOS;512 GB;Apple M4 10-core;16 GB;512 GB;Prateado;Sequoia;Não;Não;Apple;MU9ELL/A
mac-mini-m4;Apple Mac Mini M4 16gb Ram 512gb Garantia Apple Lacrado 2024;7596;https://produto.mercadolivre.com.br/MLB-4062551265-apple-mac-mini-m4-16gb-ram-512gb-garantia-apple-lacrado-2024-_JM?searchVariation=187945956869;Frete grátis;2025-05-19 10:07:55.622761;Apple Mac Mini M4 16gb Ram 512gb Garantia Apple Lacrado 2024;7596;Novo;em 12x R$ 730 , 12;;Apple;M4;Mac mini;M4;macOS;512 GB;Apple M4 10-core;16 GB;512 GB;Prateado;Sequoia;Não;Não;Apple Inc;MU9ELL/A
